File, Cycle, Orbit, Date, Time, image_coords, Longitude, Latitude, IWV, IWV_average, Excluded_pixels (%), IWV error   
S3B_OL_2_LFR____20200809T090303_20200809T090603_20200810T130412_0179_042_107_2340_LN1_O_NT_002.SEN3, 042,107,2020-08-09 09:04:33.472164, (1656, 4830), 23.7796818931, 35.3377845486, --, 33.83759773254395, 86, --
S3B_OL_2_LFR____20200817T085534_20200817T085834_20200818T124239_0179_042_221_2340_LN1_O_NT_002.SEN3, 042,221,2020-08-17 08:57:11.405881, (1809, 4225), 23.7796818931, 35.3377845486, 16.499998, 20.992194396027912, 0, 0.9
S3B_OL_2_LFR____20200818T082923_20200818T083223_20200819T134800_0179_042_235_2340_LN1_O_NT_002.SEN3, 042,235,2020-08-18 08:31:20.595179, (2265, 2073), 23.7796818931, 35.3377845486, 14.099999, 19.425389044738832, 0, 0.59999996
S3B_OL_2_LFR____20200821T085149_20200821T085449_20200822T132145_0179_042_278_2340_LN1_O_NT_002.SEN3, 042,278,2020-08-21 08:53:30.090811, (1881, 3916), 23.7796818931, 35.3377845486, 11.099999, 16.43121148529602, 13, 0.9
S3B_OL_2_LFR____20200902T084036_20200902T084336_20200903T134024_0179_043_064_2340_LN1_O_NT_002.SEN3, 043,064,2020-09-02 08:42:25.255039, (2085, 3002), 23.7796818931, 35.3377845486, 10.799999, 13.515295773961666, 0, 0.59999996
S3B_OL_2_LFR____20200903T081425_20200903T081725_20200904T142015_0179_043_078_2340_LN1_O_NT_002.SEN3, 043,078,2020-09-03 08:16:31.370522, (2474, 836), 23.7796818931, 35.3377845486, 19.499998, 20.50332877588818, 0, 0.59999996
S3B_OL_2_LFR____20200905T090302_20200905T090600_20200906T215007_0177_043_107_2340_LN1_O_NT_002.SEN3, 043,107,2020-09-05 09:04:32.790698, (1660, 4832), 23.7796818931, 35.3377845486, --, 16.622579595094088, 90, --
S3B_OL_2_LFR____20200906T083651_20200906T083951_20200907T124032_0179_043_121_2340_LN1_O_NT_002.SEN3, 043,121,2020-09-06 08:38:43.308328, (2148, 2695), 23.7796818931, 35.3377845486, 5.3999996, 10.331737162543385, 0, 0.29999998
S3B_OL_2_LFR____20200907T081040_20200907T081340_20200908T120423_0179_043_135_2340_LN1_O_NT_002.SEN3, 043,135,2020-09-07 08:12:48.634626, (2520, 526), 23.7796818931, 35.3377845486, 8.7, 12.01498367932783, 0, 0.29999998
S3A_OL_2_LFR____20200719T084623_20200719T084923_20200720T131356_0179_060_335_2340_LN1_O_NT_002.SEN3, 060,335,2020-07-19 08:48:07.986953, (1980, 3464), 23.7796818931, 35.3377845486, 13.199999, 17.024140439346105, 0, 0.9
S3A_OL_2_LFR____20200720T082012_20200720T082312_20200721T123636_0180_060_349_2340_LN1_O_NT_002.SEN3, 060,349,2020-07-20 08:22:15.103352, (2391, 1303), 23.7796818931, 35.3377845486, 15.299999, 18.62778244951389, 0, 0.59999996
S3A_OL_2_LFR____20200723T084238_20200723T084538_20200724T135536_0179_061_007_2340_LN1_O_NT_002.SEN3, 061,007,2020-07-23 08:44:26.429451, (2048, 3158), 23.7796818931, 35.3377845486, 4.7999997, 10.040165906145967, 0, 0.29999998
S3A_OL_2_LFR____20200801T080858_20200801T081158_20200802T125151_0179_061_135_2340_LN1_O_NT_002.SEN3, 061,135,2020-08-01 08:11:07.316046, (2530, 369), 23.7796818931, 35.3377845486, 13.499999, 16.072943870036337, 0, 0.59999996
S3A_OL_2_LFR____20200803T085735_20200803T090035_20200804T130936_0179_061_164_2340_LN1_O_NT_002.SEN3, 061,164,2020-08-03 08:59:10.999822, (1767, 4381), 23.7796818931, 35.3377845486, 17.4, 21.673984183233063, 0, 0.9
S3A_OL_2_LFR____20200804T083124_20200804T083424_20200805T122522_0179_061_178_2340_LN1_O_NT_002.SEN3, 061,178,2020-08-04 08:33:20.361842, (2229, 2234), 23.7796818931, 35.3377845486, 17.099998, 21.05369284051266, 0, 0.59999996
S3A_OL_2_LFR____20200827T083506_20200827T083806_20200828T135339_0179_062_121_2340_LN1_O_NT_002.SEN3, 062,121,2020-08-27 08:36:59.391051, (2175, 2543), 23.7796818931, 35.3377845486, 8.999999, 13.339853521936519, 0, 0.59999996
S3A_OL_2_LFR____20200828T080855_20200828T081155_20200829T131531_0180_062_135_2340_LN1_O_NT_002.SEN3, 062,135,2020-08-28 08:11:04.046385, (2532, 371), 23.7796818931, 35.3377845486, 9.9, 13.313943014432686, 0, 0.29999998
S3A_OL_2_LFR____20200830T085732_20200830T090032_20200831T132741_0179_062_164_2340_LN1_O_NT_002.SEN3, 062,164,2020-08-30 08:59:07.516748, (1769, 4383), 23.7796818931, 35.3377845486, 8.999999, 12.089281289560118, 0, 0.59999996
S3A_OL_2_LFR____20200907T085003_20200907T085303_20200908T130534_0179_062_278_2340_LN1_O_NT_002.SEN3, 062,278,2020-09-07 08:51:45.383420, (1915, 3769), 23.7796818931, 35.3377845486, 8.4, 12.37616990880341, 0, 0.59999996
S3B_OL_2_LFR____20200702T084805_20200702T085105_20200703T132247_0179_040_335_2340_LN1_O_NT_002.SEN3, 040,335,2020-07-02 08:49:48.543903, (1951, 3611), 23.7796818931, 35.3377845486, 12.299999, 17.306034297526317, 0, 0.9
S3B_OL_2_LFR____20200711T081425_20200711T081725_20200712T122146_0179_041_078_2340_LN1_O_NT_002.SEN3, 041,078,2020-07-11 08:16:31.888150, (2470, 836), 23.7796818931, 35.3377845486, 5.1, 9.841622716802464, 0, 0.29999998
S3B_OL_2_LFR____20200715T081041_20200715T081341_20200716T130455_0179_041_135_2340_LN1_O_NT_002.SEN3, 041,135,2020-07-15 08:12:49.427637, (2514, 523), 23.7796818931, 35.3377845486, 15.299999, 19.487823990455652, 0, 0.59999996
