File, Cycle, Orbit, Date and Time, image x_cord, image y-cord, Longitude, Latitude, IWV, IWV_average, Excluded_pixels (%), IWV error   
S3B_OL_2_LFR____20190528T084409_20190528T084709_20200219T051210_0180_026_007_2340_LR1_R_NT_002.SEN3,26,7, 2019-05-28 08:45:51.758143, (1929, 3754),25.14150322,35.3241276,21.599998,21.08069191,36.94068678,1.1999999
S3B_OL_2_LFR____20190528T084409_20190528T084709_20200219T051210_0180_026_007_2340_LR1_R_NT_002.SEN3,26,7, 2019-05-28 08:45:53.914230, (1978, 3997),25.7972323,35.0530694, --,14.9181809,96.566077, --
S3B_OL_2_LFR____20190528T084409_20190528T084709_20200219T051210_0180_026_007_2340_LR1_R_NT_002.SEN3,26,7, 2019-05-28 08:45:50.658101, (1904, 3267),23.74064133,35.67024941,21.3,20.0789872,73.25702393,0.9
S3B_OL_2_LFR____20190528T084409_20190528T084709_20200219T051210_0180_026_007_2340_LR1_R_NT_002.SEN3,26,7, 2019-05-28 08:45:56.994394, (2048, 3695),24.87775154,35.05394799,23.099998,22.16238811,29.44849116,0.9
S3B_OL_2_LFR____20190528T084409_20190528T084709_20200219T051210_0180_026_007_2340_LR1_R_NT_002.SEN3,26,7, 2019-05-28 08:45:57.918401, (2069, 3276),23.6406989,35.23938299,22.499998,18.58518418,91.57127992,0.9
S3B_OL_2_LFR____20190528T084409_20190528T084709_20200219T051210_0180_026_007_2340_LR1_R_NT_002.SEN3,26,7, 2019-05-28 08:45:56.642356, (2040, 3499),24.31848324,35.18760437, --,20.23023139,59.72944849, --
S3B_OL_2_LFR____20190528T084409_20190528T084709_20200219T051210_0180_026_007_2340_LR1_R_NT_002.SEN3,26,7, 2019-05-28 08:45:52.462184, (1945, 3576),24.61307909,35.38775778, --,21.89999884,97.710718, --
S3B_OL_2_LFR____20190528T084409_20190528T084709_20200219T051210_0180_026_007_2340_LR1_R_NT_002.SEN3,26,7, 2019-05-28 08:45:50.482100, (1900, 4086),26.10606173,35.20475952,19.8,19.9749386,56.81581686,0.9
S3B_OL_2_LFR____20190528T084409_20190528T084709_20200219T051210_0180_026_007_2340_LR1_R_NT_002.SEN3,26,7, 2019-05-28 08:45:51.846144, (1931, 3385),24.0705597,35.53318964,25.8,25.13157737,88.13735692,2.1
S3B_OL_2_LFR____20190624T084406_20190624T084706_20200219T065641_0179_027_007_2340_LR1_R_NT_002.SEN3,27,7, 2019-06-24 08:45:53.280390, (2019, 3306),23.77968189,35.33778455,17.999998,19.02955143,0,0.9
S3B_OL_2_LFR____20190624T084406_20190624T084706_20200219T065641_0179_027_007_2340_LR1_R_NT_002.SEN3,27,7, 2019-06-24 08:45:54.644436, (2050, 3229),23.52146221,35.30351361,20.999998,20.18081523,74.5057232,1.1999999
S3B_OL_2_LFR____20190624T084406_20190624T084706_20200219T065641_0179_027_007_2340_LR1_R_NT_002.SEN3,27,7, 2019-06-24 08:46:00.320689, (2179, 3462),24.10886335,34.83849396,20.4,20.87581842,74.60978148,0.9
S3B_OL_2_LFR____20190624T084406_20190624T084706_20200219T065641_0179_027_007_2340_LR1_R_NT_002.SEN3,27,7, 2019-06-24 08:46:00.144688, (2175, 3465),24.11983311,34.84794784,31.799997,20.802474,78.98022893,35.699997
S3B_OL_2_LFR____20190624T084406_20190624T084706_20200219T065641_0179_027_007_2340_LR1_R_NT_002.SEN3,27,7, 2019-06-24 08:45:49.144219, (1925, 3753),25.14150322,35.3241276,27.3,26.57970384,36.42039542,1.1999999
S3B_OL_2_LFR____20190624T084406_20190624T084706_20200219T065641_0179_027_007_2340_LR1_R_NT_002.SEN3,27,7, 2019-06-24 08:45:51.344306, (1975, 3996),25.7972323,35.0530694,26.099998,24.7764691,0.936524454,0.9
S3B_OL_2_LFR____20190624T084406_20190624T084706_20200219T065641_0179_027_007_2340_LR1_R_NT_002.SEN3,27,7, 2019-06-24 08:45:48.044176, (1900, 3267),23.74064133,35.67024941,19.499998,18.85376228,70.96774194,0.9
S3B_OL_2_LFR____20190624T084406_20190624T084706_20200219T065641_0179_027_007_2340_LR1_R_NT_002.SEN3,27,7, 2019-06-24 08:45:54.380434, (2044, 3694),24.87775154,35.05394799,26.399998,26.06899637,0.312174818,0.9
S3B_OL_2_LFR____20190624T084406_20190624T084706_20200219T065641_0179_027_007_2340_LR1_R_NT_002.SEN3,27,7, 2019-06-24 08:45:55.304476, (2065, 3275),23.6406989,35.23938299,20.699999,19.86428456,51.92507804,0.9
S3B_OL_2_LFR____20190624T084406_20190624T084706_20200219T065641_0179_027_007_2340_LR1_R_NT_002.SEN3,27,7, 2019-06-24 08:45:54.028431, (2036, 3498),24.31848324,35.18760437,43.199997,25.3980248,52.54942768,53.699997
S3B_OL_2_LFR____20190624T084406_20190624T084706_20200219T065641_0179_027_007_2340_LR1_R_NT_002.SEN3,27,7, 2019-06-24 08:45:49.848225, (1941, 3575),24.61307909,35.38775778,23.099998,23.26890199,36.42039542,0.9
S3B_OL_2_LFR____20190624T084406_20190624T084706_20200219T065641_0179_027_007_2340_LR1_R_NT_002.SEN3,27,7, 2019-06-24 08:45:47.868141, (1896, 4084),26.10606173,35.20475952,27.3,25.84379408,42.9760666,1.1999999
S3B_OL_2_LFR____20190624T084406_20190624T084706_20200219T065641_0179_027_007_2340_LR1_R_NT_002.SEN3,27,7, 2019-06-24 08:45:49.232220, (1927, 3383),24.0705597,35.53318964,21.9,21.95490952,53.38189386,0.9
S3B_OL_2_LFR____20190721T084409_20190721T084709_20200219T084409_0179_028_007_2340_LR1_R_NT_002.SEN3,28,7, 2019-07-21 08:45:55.852654, (2014, 3306),23.77968189,35.33778455,6.8999996,14.14784228,20.39542144,0.59999996
S3B_OL_2_LFR____20190721T084409_20190721T084709_20200219T084409_0179_028_007_2340_LR1_R_NT_002.SEN3,28,7, 2019-07-21 08:45:57.216735, (2045, 3229),23.52146221,35.30351361,14.4,14.82736754,70.3433923,0.9
S3B_OL_2_LFR____20190721T084409_20190721T084709_20200219T084409_0179_028_007_2340_LR1_R_NT_002.SEN3,28,7, 2019-07-21 08:46:02.892952, (2174, 3462),24.10886335,34.83849396,16.8,15.40948807,71.4880333,0.59999996
S3B_OL_2_LFR____20190721T084409_20190721T084709_20200219T084409_0179_028_007_2340_LR1_R_NT_002.SEN3,28,7, 2019-07-21 08:46:02.716951, (2170, 3465),24.11983311,34.84794784,33.6,15.51947952,75.96253902,36.3
S3B_OL_2_LFR____20190721T084409_20190721T084709_20200219T084409_0179_028_007_2340_LR1_R_NT_002.SEN3,28,7, 2019-07-21 08:45:51.716483, (1920, 3753),25.14150322,35.3241276,32.399998,30.21407819,34.9635796,1.1999999
S3B_OL_2_LFR____20190721T084409_20190721T084709_20200219T084409_0179_028_007_2340_LR1_R_NT_002.SEN3,28,7, 2019-07-21 08:45:53.872570, (1969, 3995),25.7972323,35.0530694,28.499998,23.12764264,0.624349636,0.9
S3B_OL_2_LFR____20190721T084409_20190721T084709_20200219T084409_0179_028_007_2340_LR1_R_NT_002.SEN3,28,7, 2019-07-21 08:45:50.616440, (1895, 3267),23.74064133,35.67024941,19.499998,18.16068269,63.47554631,0.9
S3B_OL_2_LFR____20190721T084409_20190721T084709_20200219T084409_0179_028_007_2340_LR1_R_NT_002.SEN3,28,7, 2019-07-21 08:45:56.952698, (2039, 3694),24.87775154,35.05394799,25.499998,24.38158853,0.520291363,0.9
S3B_OL_2_LFR____20190721T084409_20190721T084709_20200219T084409_0179_028_007_2340_LR1_R_NT_002.SEN3,28,7, 2019-07-21 08:45:57.876740, (2060, 3274),23.6406989,35.23938299,14.4,12.05711224,50.26014568,0.9
S3B_OL_2_LFR____20190721T084409_20190721T084709_20200219T084409_0179_028_007_2340_LR1_R_NT_002.SEN3,28,7, 2019-07-21 08:45:56.600695, (2031, 3497),24.31848324,35.18760437,33.3,14.5764697,52.23725286,37.499996
S3B_OL_2_LFR____20190721T084409_20190721T084709_20200219T084409_0179_028_007_2340_LR1_R_NT_002.SEN3,28,7, 2019-07-21 08:45:52.420524, (1936, 3574),24.61307909,35.38775778,30.599998,30.81092702,42.87200832,0.9
S3B_OL_2_LFR____20190721T084409_20190721T084709_20200219T084409_0179_028_007_2340_LR1_R_NT_002.SEN3,28,7, 2019-07-21 08:45:50.440438, (1891, 4084),26.10606173,35.20475952,32.399998,30.37531455,50.67637877,1.1999999
S3B_OL_2_LFR____20190721T084409_20190721T084709_20200219T084409_0179_028_007_2340_LR1_R_NT_002.SEN3,28,7, 2019-07-21 08:45:51.804484, (1922, 3383),24.0705597,35.53318964,26.399998,27.32372728,63.16337149,0.9
S3B_OL_2_LFR____20190817T084409_20190817T084709_20200219T103103_0179_029_007_2340_LR1_R_NT_002.SEN3,29,7, 2019-08-17 08:45:55.810962, (2018, 3305),23.77968189,35.33778455,13.799999,19.92513603,5.202913632,0.59999996
S3B_OL_2_LFR____20190817T084409_20190817T084709_20200219T103103_0179_029_007_2340_LR1_R_NT_002.SEN3,29,7, 2019-08-17 08:45:57.131042, (2048, 3227),23.52146221,35.30351361,31.499998,26.4381341,75.44224766,4.2
S3B_OL_2_LFR____20190817T084409_20190817T084709_20200219T103103_0179_029_007_2340_LR1_R_NT_002.SEN3,29,7, 2019-08-17 08:46:02.851260, (2178, 3461),24.10886335,34.83849396,25.499998,25.23371937,73.15296566,0.9
S3B_OL_2_LFR____20190817T084409_20190817T084709_20200219T103103_0179_029_007_2340_LR1_R_NT_002.SEN3,29,7, 2019-08-17 08:46:02.631259, (2173, 3463),24.11983311,34.84794784,44.699997,25.21057115,76.37877211,59.699997
S3B_OL_2_LFR____20190817T084409_20190817T084709_20200219T103103_0179_029_007_2340_LR1_R_NT_002.SEN3,29,7, 2019-08-17 08:45:51.674791, (1924, 3751),25.14150322,35.3241276,32.1,30.45313819,35.3798127,1.4999999
S3B_OL_2_LFR____20190817T084409_20190817T084709_20200219T103103_0179_029_007_2340_LR1_R_NT_002.SEN3,29,7, 2019-08-17 08:45:53.874877, (1974, 3993),25.7972323,35.0530694,26.699999,24.4432305,0.832466181,0.9
S3B_OL_2_LFR____20190817T084409_20190817T084709_20200219T103103_0179_029_007_2340_LR1_R_NT_002.SEN3,29,7, 2019-08-17 08:45:50.530748, (1898, 3264),23.74064133,35.67024941,26.099998,25.12902061,67.01352758,0.9
S3B_OL_2_LFR____20190817T084409_20190817T084709_20200219T103103_0179_029_007_2340_LR1_R_NT_002.SEN3,29,7, 2019-08-17 08:45:56.867005, (2042, 3692),24.87775154,35.05394799,30.599998,30.26839814,21.95629553,0.9
S3B_OL_2_LFR____20190817T084409_20190817T084709_20200219T103103_0179_029_007_2340_LR1_R_NT_002.SEN3,29,7, 2019-08-17 08:45:57.835048, (2064, 3272),23.6406989,35.23938299,29.099998,26.3740561,53.06971904,0.9
S3B_OL_2_LFR____20190817T084409_20190817T084709_20200219T103103_0179_029_007_2340_LR1_R_NT_002.SEN3,29,7, 2019-08-17 08:45:56.559003, (2035, 3496),24.31848324,35.18760437,43.8,19.81466549,53.17377732,58.499996
